10184111214139411233S  3 2351211  232173821 9411 22631 .40                              
10184311214135804031R  121231121  232158521 1133222521 .65                              
10185611214132072311R  1312322921 232154529 21139124291.76                              
10186011214136362923S  121251121  212242321 8412 223112.09                              
10186211214135133924S  9 99999922 132290321 1134911611 .72                              
10186311214139733412S  3 2351911  221233621 7411 22231 .78                              
10186511214139143615S  133151211  212248611 84139224331.38                              
10187211214137035133S  2 2121291  212164621 8411 22531 .52                              
10187311214138631232S  1212521221 232159321 2112 125111.20                              
10187811214138174835S  121351111  322120321991132221111.03                              
10187911214139132024S  3 2151211  23215152399211 224241.06                              
10188311214137632723S  121241121  132280521 4211 22621 .33                              
10188911214132312622R  121351211  132271621 4213922631 .32                              
1018981121413925 645S  131351121  232269621 9413222631 .46                              
10190011214132072311U  9 2351991  211247621 5213122431 .56                              
10190211214133045431R  119351211  21225362199913122431 .48                              
1019141121413408 644U  121929991  432160323 31149225141.27                              
10191611214137323414S  111351121  332259321 52131225111.59                              
10192111214136062131R  111232211  232179221 3112 22611 .65                              
1019231121413909 641U  3 2351211  232181821 7411 22631 .44                              
10192811214132535343S  111351211  331236521 74331223212.34                              
1019351121413209 641R  131151191  231230521 94349222212.14                              
1019361121413562 645S  131232121  232271621 9412 22631 .46                              
10193811214137023242U  131351111  332256421 8411 22521 .90                              
10194011214133303922R  121121121  132289221 2132 22611 .33                              
10195111214139733415U  123151121  232268222 2112 22612 .80                              
10196311214132391233S  3 2151211  232264421 8431 22521 .75                              
1019661121413951 642S  9 19511222 132287321 2111 11611 .53                              
1019681121413707 641R  3 1351121  132140321 1111 22311 .83                              
10196911214137023242U  3 2321211  232168621 7411 22631 .38                              
1019701121413559 642U  1193329122 132190621 6311 11631 .37                              
1019841121413707 641R  121259121  132283321 2122 22611 .40                              
10198711214137753241R  131251121  232271821 7412 22631 .33                              
10199111214134255344S  131232121  332161621 5213222531 .87                              
10200111214134255344S  3 2151211  21126172999411 22539 .57                              
10200411214132154214S  3 2351211  23216142199313122521 .94                              
10201011214137701332S  133351221  312154222 21339224121.07                              
10204411214132021135U  131132111  421125422 4212 222221.04                              
10204611214135862624S  3 21512121 132283321 1111 12611 .62                              
10204711214132154214S  131251111  211244621 6311 223311.36                              
10205011214138045134S  3 2351111  23123442299112 222222.04                              
1020511121413858 643U  3 2151211  232160621 6311 22531 .53                              
10205311214135183611R  111211211  511246521 5211 224211.43                              
10205411214134255344S  3 2451221  211199821 3134922931 .53                              
10205511214135611233U  123212111  33225162199312 22431 .57                              
10205811214135034144U  121211111  132266621 5212 22631 .32                              
10205911214133605341S  123352111  222249821 3113922431 .50                              
10206111214137323414S  131292211  212256621 9413122531 .66                              
1020831121413760 641S  121292121  132286521 2112 22621 .37                              
10208811214138434532S  3 2351211  212162821 8419122531 .47                              
10209011214137035133S  133251121  211243821 9412 22331 .90                              
10209511214137163613S  111321121  211146821 8413122431 .74                              
10210311214136073611R  3 2359991  112247821 6314122431 .35                              
10210411214132154214S  121351121  232170421 4213922621 .72                              
10210711214134234733S  1223512121 232262321 31249125111.38                              
10212811214134403923U  121212211  221252321 94139224111.06                              
10213211214137183615U  123351211  211148821 9411 224311.07                              
10214811215137163613S  1213521922 132180321 3112 11611 .69                              
10215011214137721233U  111351121  232265812 8412 22633 .53                              
10215111214135704212R  123251121  311249821 7412 22431 .62                              
10215211214134403923U  121251211  232166321 4211 22611 .62                              
10215411214138631232S  9 3239991  232153321 31349224111.06                              
10215611214136143925U  3 2151211  232186621 6311 22631 .58                              
10215711214134102435U  121351111  332286822 6311 22632 .45                              
10215811214135082513S  131359111  212271821 9413222631 .35                              
10216011214137575135U  131352121  132157322 5212 22512 .58                              
10216711214138034532S  1312919921 132284122 1112 12612 .35                              
10218511214133303923S  123352291  222269321 6312 22611 .58                              
10219411215136512725U  131232111  112262621 9412 22531 .40                              
1021991121413303 843S  133212121  112152621 9413222431 .41                              
10221011214136313614S  121959121  512260623 9422 22534 .79                              
10223011214138144212S  131212121  232164821 8412 22531 .55                              
10223411214132154215U  111351291  312154822 3112 224321.10                              
10223611214132154215U  132251111  132274222 2112 22612 .50                              
10224611214136093413S  131332121  222122321 6333222111 .66                              
10226211214137701333S  121252121  321138822 5234922332 .67                              
10226711214138283733U  121232211  422224621 2123222131 .57                              
10227811214138283733U  121332121  232299821 4212 22931 .32                              
10227911214134102434S  122392211  112119421 3132 22121 .65                              
1022841121413480 443U  1332211222 132254621 4213211431 .46                              
10229011214138151723S  9 2151111  411251221 9411 224111.35                              
10229911215137155521R  1112511122 131236624 2111 11334 .87                              
10230011215135753541R  3 2151211  122174321 2111 22611 .42                              
1023021121513719 842S  3 2351211  332121421 1111 22121 .96                              
10230911215134063041R  3 2151291  122158521 6333922521 .43                              
10231911215134023124U  3 23511122 132285621 2111 11631 .38                              
10232111215139103732R  121351911  212245322 1131 22412 .78                              
10232211215137244212S  1213511121 212150321 63339124112.07                              
10232311215132154214S  3 3151211  412125322 7413122212 .75                              
10232511215136781332S  111351111  132261321 4211 22511 .48                              
1023441121513860 912S  123151121  312254621 9413222431 .62                              
10235011215135133924S  121351121  232262421 5212 22521 .98                              
10235811215132182721R  3 2151211  212148621 7413122431 .67                              
10236011215137403922S  1212521221 132268321 3133112611 .44                              
10236111215139121331R  132151121  132277521 4212 22621 .34                              
10236311215139034832U  132351111  231267311 2111 22613 .93                              
10236511215134172921R  111151111  132282321 7411 22611 .39                              
10237511215136054621R  111121211  132268621 3111 22631 .32                              
10238711215132081642U  112351211  232172621 6313122631 .38                              
10239911215137753241R  121232191  222255421 8412 22521 .82                              
10240011215133861233U  133351111  321260622 4212 22532 .44                              
10240211215132191824S  3 3321111  232134621 2111 22231 .49                              
10241611215132065344U  133259121  23216532299912 22612 .66                              
